datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
5/1/2018 4:00:00 AM,5/1/2018 12:00:00 AM,RFC,WEST,DUQ,DUQ,1157.045,True
5/1/2018 5:00:00 AM,5/1/2018 1:00:00 AM,RFC,WEST,DUQ,DUQ,1132.377,True
5/1/2018 6:00:00 AM,5/1/2018 2:00:00 AM,RFC,WEST,DUQ,DUQ,1120.838,True
5/1/2018 7:00:00 AM,5/1/2018 3:00:00 AM,RFC,WEST,DUQ,DUQ,1116.566,True
5/1/2018 8:00:00 AM,5/1/2018 4:00:00 AM,RFC,WEST,DUQ,DUQ,1150.045,True
5/1/2018 9:00:00 AM,5/1/2018 5:00:00 AM,RFC,WEST,DUQ,DUQ,1217.377,True
5/1/2018 10:00:00 AM,5/1/2018 6:00:00 AM,RFC,WEST,DUQ,DUQ,1315.851,True
5/1/2018 11:00:00 AM,5/1/2018 7:00:00 AM,RFC,WEST,DUQ,DUQ,1385.214,True
5/1/2018 12:00:00 PM,5/1/2018 8:00:00 AM,RFC,WEST,DUQ,DUQ,1416.980,True
5/1/2018 1:00:00 PM,5/1/2018 9:00:00 AM,RFC,WEST,DUQ,DUQ,1450.433,True
5/1/2018 2:00:00 PM,5/1/2018 10:00:00 AM,RFC,WEST,DUQ,DUQ,1478.035,True
5/1/2018 3:00:00 PM,5/1/2018 11:00:00 AM,RFC,WEST,DUQ,DUQ,1490.338,True
5/1/2018 4:00:00 PM,5/1/2018 12:00:00 PM,RFC,WEST,DUQ,DUQ,1490.519,True
5/1/2018 5:00:00 PM,5/1/2018 1:00:00 PM,RFC,WEST,DUQ,DUQ,1503.997,True
5/1/2018 6:00:00 PM,5/1/2018 2:00:00 PM,RFC,WEST,DUQ,DUQ,1517.813,True
5/1/2018 7:00:00 PM,5/1/2018 3:00:00 PM,RFC,WEST,DUQ,DUQ,1545.197,True
5/1/2018 8:00:00 PM,5/1/2018 4:00:00 PM,RFC,WEST,DUQ,DUQ,1550.340,True
5/1/2018 9:00:00 PM,5/1/2018 5:00:00 PM,RFC,WEST,DUQ,DUQ,1552.035,True
5/1/2018 10:00:00 PM,5/1/2018 6:00:00 PM,RFC,WEST,DUQ,DUQ,1530.397,True
5/1/2018 11:00:00 PM,5/1/2018 7:00:00 PM,RFC,WEST,DUQ,DUQ,1504.569,True
5/2/2018 12:00:00 AM,5/1/2018 8:00:00 PM,RFC,WEST,DUQ,DUQ,1516.835,True
5/2/2018 1:00:00 AM,5/1/2018 9:00:00 PM,RFC,WEST,DUQ,DUQ,1492.214,True
5/2/2018 2:00:00 AM,5/1/2018 10:00:00 PM,RFC,WEST,DUQ,DUQ,1406.123,True
5/2/2018 3:00:00 AM,5/1/2018 11:00:00 PM,RFC,WEST,DUQ,DUQ,1306.228,True
5/2/2018 4:00:00 AM,5/2/2018 12:00:00 AM,RFC,WEST,DUQ,DUQ,1218.889,True
5/2/2018 5:00:00 AM,5/2/2018 1:00:00 AM,RFC,WEST,DUQ,DUQ,1170.362,True
5/2/2018 6:00:00 AM,5/2/2018 2:00:00 AM,RFC,WEST,DUQ,DUQ,1142.932,True
5/2/2018 7:00:00 AM,5/2/2018 3:00:00 AM,RFC,WEST,DUQ,DUQ,1106.936,True
5/2/2018 8:00:00 AM,5/2/2018 4:00:00 AM,RFC,WEST,DUQ,DUQ,1128.632,True
5/2/2018 9:00:00 AM,5/2/2018 5:00:00 AM,RFC,WEST,DUQ,DUQ,1214.748,True
5/2/2018 10:00:00 AM,5/2/2018 6:00:00 AM,RFC,WEST,DUQ,DUQ,1301.328,True
5/2/2018 11:00:00 AM,5/2/2018 7:00:00 AM,RFC,WEST,DUQ,DUQ,1384.040,True
5/2/2018 12:00:00 PM,5/2/2018 8:00:00 AM,RFC,WEST,DUQ,DUQ,1438.996,True
5/2/2018 1:00:00 PM,5/2/2018 9:00:00 AM,RFC,WEST,DUQ,DUQ,1502.016,True
5/2/2018 2:00:00 PM,5/2/2018 10:00:00 AM,RFC,WEST,DUQ,DUQ,1563.604,True
5/2/2018 3:00:00 PM,5/2/2018 11:00:00 AM,RFC,WEST,DUQ,DUQ,1603.538,True
5/2/2018 4:00:00 PM,5/2/2018 12:00:00 PM,RFC,WEST,DUQ,DUQ,1647.823,True
5/2/2018 5:00:00 PM,5/2/2018 1:00:00 PM,RFC,WEST,DUQ,DUQ,1684.027,True
5/2/2018 6:00:00 PM,5/2/2018 2:00:00 PM,RFC,WEST,DUQ,DUQ,1700.853,True
5/2/2018 7:00:00 PM,5/2/2018 3:00:00 PM,RFC,WEST,DUQ,DUQ,1709.190,True
5/2/2018 8:00:00 PM,5/2/2018 4:00:00 PM,RFC,WEST,DUQ,DUQ,1717.357,True
5/2/2018 9:00:00 PM,5/2/2018 5:00:00 PM,RFC,WEST,DUQ,DUQ,1737.943,True
5/2/2018 10:00:00 PM,5/2/2018 6:00:00 PM,RFC,WEST,DUQ,DUQ,1716.352,True
5/2/2018 11:00:00 PM,5/2/2018 7:00:00 PM,RFC,WEST,DUQ,DUQ,1687.217,True
5/3/2018 12:00:00 AM,5/2/2018 8:00:00 PM,RFC,WEST,DUQ,DUQ,1685.721,True
5/3/2018 1:00:00 AM,5/2/2018 9:00:00 PM,RFC,WEST,DUQ,DUQ,1663.142,True
5/3/2018 2:00:00 AM,5/2/2018 10:00:00 PM,RFC,WEST,DUQ,DUQ,1572.701,True
5/3/2018 3:00:00 AM,5/2/2018 11:00:00 PM,RFC,WEST,DUQ,DUQ,1444.849,True
5/3/2018 4:00:00 AM,5/3/2018 12:00:00 AM,RFC,WEST,DUQ,DUQ,1356.998,True
5/3/2018 5:00:00 AM,5/3/2018 1:00:00 AM,RFC,WEST,DUQ,DUQ,1305.521,True
5/3/2018 6:00:00 AM,5/3/2018 2:00:00 AM,RFC,WEST,DUQ,DUQ,1280.476,True
5/3/2018 7:00:00 AM,5/3/2018 3:00:00 AM,RFC,WEST,DUQ,DUQ,1256.969,True
5/3/2018 8:00:00 AM,5/3/2018 4:00:00 AM,RFC,WEST,DUQ,DUQ,1274.263,True
5/3/2018 9:00:00 AM,5/3/2018 5:00:00 AM,RFC,WEST,DUQ,DUQ,1343.289,True
5/3/2018 10:00:00 AM,5/3/2018 6:00:00 AM,RFC,WEST,DUQ,DUQ,1434.021,True
5/3/2018 11:00:00 AM,5/3/2018 7:00:00 AM,RFC,WEST,DUQ,DUQ,1518.548,True
5/3/2018 12:00:00 PM,5/3/2018 8:00:00 AM,RFC,WEST,DUQ,DUQ,1573.975,True
5/3/2018 1:00:00 PM,5/3/2018 9:00:00 AM,RFC,WEST,DUQ,DUQ,1654.214,True
5/3/2018 2:00:00 PM,5/3/2018 10:00:00 AM,RFC,WEST,DUQ,DUQ,1718.336,True
5/3/2018 3:00:00 PM,5/3/2018 11:00:00 AM,RFC,WEST,DUQ,DUQ,1759.552,True
5/3/2018 4:00:00 PM,5/3/2018 12:00:00 PM,RFC,WEST,DUQ,DUQ,1816.027,True
5/3/2018 5:00:00 PM,5/3/2018 1:00:00 PM,RFC,WEST,DUQ,DUQ,1865.593,True
5/3/2018 6:00:00 PM,5/3/2018 2:00:00 PM,RFC,WEST,DUQ,DUQ,1897.074,True
5/3/2018 7:00:00 PM,5/3/2018 3:00:00 PM,RFC,WEST,DUQ,DUQ,1871.402,True
5/3/2018 8:00:00 PM,5/3/2018 4:00:00 PM,RFC,WEST,DUQ,DUQ,1830.217,True
5/3/2018 9:00:00 PM,5/3/2018 5:00:00 PM,RFC,WEST,DUQ,DUQ,1811.742,True
5/3/2018 10:00:00 PM,5/3/2018 6:00:00 PM,RFC,WEST,DUQ,DUQ,1802.202,True
5/3/2018 11:00:00 PM,5/3/2018 7:00:00 PM,RFC,WEST,DUQ,DUQ,1797.234,True
5/4/2018 12:00:00 AM,5/3/2018 8:00:00 PM,RFC,WEST,DUQ,DUQ,1779.136,True
5/4/2018 1:00:00 AM,5/3/2018 9:00:00 PM,RFC,WEST,DUQ,DUQ,1708.028,True
5/4/2018 2:00:00 AM,5/3/2018 10:00:00 PM,RFC,WEST,DUQ,DUQ,1587.189,True
5/4/2018 3:00:00 AM,5/3/2018 11:00:00 PM,RFC,WEST,DUQ,DUQ,1452.148,True
5/4/2018 4:00:00 AM,5/4/2018 12:00:00 AM,RFC,WEST,DUQ,DUQ,1353.043,True
5/4/2018 5:00:00 AM,5/4/2018 1:00:00 AM,RFC,WEST,DUQ,DUQ,1307.306,True
5/4/2018 6:00:00 AM,5/4/2018 2:00:00 AM,RFC,WEST,DUQ,DUQ,1261.101,True
5/4/2018 7:00:00 AM,5/4/2018 3:00:00 AM,RFC,WEST,DUQ,DUQ,1248.372,True
5/4/2018 8:00:00 AM,5/4/2018 4:00:00 AM,RFC,WEST,DUQ,DUQ,1251.655,True
5/4/2018 9:00:00 AM,5/4/2018 5:00:00 AM,RFC,WEST,DUQ,DUQ,1320.020,True
5/4/2018 10:00:00 AM,5/4/2018 6:00:00 AM,RFC,WEST,DUQ,DUQ,1430.651,True
5/4/2018 11:00:00 AM,5/4/2018 7:00:00 AM,RFC,WEST,DUQ,DUQ,1513.121,True
5/4/2018 12:00:00 PM,5/4/2018 8:00:00 AM,RFC,WEST,DUQ,DUQ,1585.700,True
5/4/2018 1:00:00 PM,5/4/2018 9:00:00 AM,RFC,WEST,DUQ,DUQ,1639.992,True
5/4/2018 2:00:00 PM,5/4/2018 10:00:00 AM,RFC,WEST,DUQ,DUQ,1670.093,True
5/4/2018 3:00:00 PM,5/4/2018 11:00:00 AM,RFC,WEST,DUQ,DUQ,1674.014,True
5/4/2018 4:00:00 PM,5/4/2018 12:00:00 PM,RFC,WEST,DUQ,DUQ,1712.461,True
5/4/2018 5:00:00 PM,5/4/2018 1:00:00 PM,RFC,WEST,DUQ,DUQ,1738.520,True
5/4/2018 6:00:00 PM,5/4/2018 2:00:00 PM,RFC,WEST,DUQ,DUQ,1781.526,True
5/4/2018 7:00:00 PM,5/4/2018 3:00:00 PM,RFC,WEST,DUQ,DUQ,1791.286,True
5/4/2018 8:00:00 PM,5/4/2018 4:00:00 PM,RFC,WEST,DUQ,DUQ,1786.437,True
5/4/2018 9:00:00 PM,5/4/2018 5:00:00 PM,RFC,WEST,DUQ,DUQ,1756.873,True
5/4/2018 10:00:00 PM,5/4/2018 6:00:00 PM,RFC,WEST,DUQ,DUQ,1663.798,True
5/4/2018 11:00:00 PM,5/4/2018 7:00:00 PM,RFC,WEST,DUQ,DUQ,1593.383,True
5/5/2018 12:00:00 AM,5/4/2018 8:00:00 PM,RFC,WEST,DUQ,DUQ,1582.538,True
5/5/2018 1:00:00 AM,5/4/2018 9:00:00 PM,RFC,WEST,DUQ,DUQ,1505.724,True
5/5/2018 2:00:00 AM,5/4/2018 10:00:00 PM,RFC,WEST,DUQ,DUQ,1399.383,True
5/5/2018 3:00:00 AM,5/4/2018 11:00:00 PM,RFC,WEST,DUQ,DUQ,1296.008,True
5/5/2018 4:00:00 AM,5/5/2018 12:00:00 AM,RFC,WEST,DUQ,DUQ,1234.003,True
5/5/2018 5:00:00 AM,5/5/2018 1:00:00 AM,RFC,WEST,DUQ,DUQ,1170.941,True
5/5/2018 6:00:00 AM,5/5/2018 2:00:00 AM,RFC,WEST,DUQ,DUQ,1138.772,True
5/5/2018 7:00:00 AM,5/5/2018 3:00:00 AM,RFC,WEST,DUQ,DUQ,1110.018,True
5/5/2018 8:00:00 AM,5/5/2018 4:00:00 AM,RFC,WEST,DUQ,DUQ,1117.794,True
5/5/2018 9:00:00 AM,5/5/2018 5:00:00 AM,RFC,WEST,DUQ,DUQ,1127.305,True
5/5/2018 10:00:00 AM,5/5/2018 6:00:00 AM,RFC,WEST,DUQ,DUQ,1137.704,True
5/5/2018 11:00:00 AM,5/5/2018 7:00:00 AM,RFC,WEST,DUQ,DUQ,1182.440,True
5/5/2018 12:00:00 PM,5/5/2018 8:00:00 AM,RFC,WEST,DUQ,DUQ,1247.236,True
5/5/2018 1:00:00 PM,5/5/2018 9:00:00 AM,RFC,WEST,DUQ,DUQ,1306.568,True
5/5/2018 2:00:00 PM,5/5/2018 10:00:00 AM,RFC,WEST,DUQ,DUQ,1359.621,True
5/5/2018 3:00:00 PM,5/5/2018 11:00:00 AM,RFC,WEST,DUQ,DUQ,1379.298,True
5/5/2018 4:00:00 PM,5/5/2018 12:00:00 PM,RFC,WEST,DUQ,DUQ,1389.226,True
5/5/2018 5:00:00 PM,5/5/2018 1:00:00 PM,RFC,WEST,DUQ,DUQ,1399.683,True
5/5/2018 6:00:00 PM,5/5/2018 2:00:00 PM,RFC,WEST,DUQ,DUQ,1397.964,True
5/5/2018 7:00:00 PM,5/5/2018 3:00:00 PM,RFC,WEST,DUQ,DUQ,1388.489,True
5/5/2018 8:00:00 PM,5/5/2018 4:00:00 PM,RFC,WEST,DUQ,DUQ,1382.745,True
5/5/2018 9:00:00 PM,5/5/2018 5:00:00 PM,RFC,WEST,DUQ,DUQ,1381.090,True
